TemplateID	Regex	Tag	Category	Group
1	ERROR\s*powerSlotDown:	EPO	HARDWARE	BLADE/NODE
2	\@gni:\s*peer\s*not\s*alive	LNET_PEER_NOT_ALIVE	LNET	NETWORK
3	LustreError:.*Got\s*rc\s*\-108\s*from\s*cancel\s*RPC:\s*canceling\s*anyway	LUSTRE_TRANSPORT_END_SHUTDOWN	LUSTRE	STORAGE
4	LOG_ERROR::send_hierarchy,\s*Could\s*not\s*send\s*mom\s*hierarchy\s*to\s*host	MOAB_MOM_MISCOMMUNICATION	MOAB	SCHEDULING
5	Response\s*Protocol\s*Error	cray_hsn_PROTOCOL_ERROR	cray_hsn	NETWORK
6	\s*failed\s*command:\s*WRITE	SONEXION_IO_ERROR	SONEXION	STORAGE
7	Lustre:\s*snx.*recovery\s*is\s*timed\s*out,\s*evict\s*stale\s*exports	LUSTRE_RECOVERY_STALE	LUSTRE	STORAGE
8	This\s*is\s*likely\s*a\s*firmware\s*bug\s*on\s*this\s*device	L0_FIRMWARE	HEALTH_CHECK	RESILIENCY_ARCHITECTURE
9	LustreError:.*Write\s*page\s*\d+\s*of\s*inode\s*\S+\s*\-122	LUSTRE_QUOTA	LUSTRE	STORAGE
10	LOG_ERROR::timeout\s*occurred,\s*cannot\s*kill\s*child	MOM_CANNOT_KILL_CHILD	MOAB	SCHEDULING
11	\*\*\*ERROR\*\*\*:\s*Warm\s*swap\s*operation\s*failed	WARMSWAP_FAILED	HEALTH_CHECK	RESILIENCY_ARCHITECTURE
12	ERROR:\s*Routing\s*fault	cray_hsn_ROUTING_FAILURE	cray_hsn	NETWORK
13	cb_hw_error:\s*handling\s*failed\s*link	cray_hsn_LINK_FAILED	cray_hsn	NETWORK
14	LustreError.*The\s*obd_ping\s*operation\s*failed\s*with\s*\-107	LUSTRE_TRANSPORT_END_SHUTDOWN	LUSTRE	STORAGE
15	mount.nfs:.*failed:\s*timed\s*out,\s*giving\s*up	LUSTRE_MOUNT_TIMEOUT	LUSTRE	STORAGE
16	LustreError:.*error\s*cancelling\s*log\s*cookies:\s*rc\s*=\s*\-13	LUSTRE_PERMISSION_DENIED	LUSTRE	STORAGE
17	end_request:\s*I\/O\s*error,\s*dev\s*\w+,\s*sector	SONEXION_IO_ERROR	SONEXION	STORAGE
18	Skipped\s*\d+\s*previous\s*similar\s*messages	LNET_PACKET_DROP	LNET	NETWORK
19	end_request:\s*I\/O\s*error,	SONEXION_IO_ERROR	SONEXION	STORAGE
20	could\s*not\s*send\s*to\s*\S+\@gni\s*due\s*to\s*connection\s*setup\s*failur	LNET_CONNECTION_FAILED	LNET	NETWORK
21	Dropping\s*GET\s*from\s*\S+\@gni\s*	LNET_PACKET_DROP	LNET	NETWORK
22	LustreError:.*ASSERTION.*failed\s*	LUSTRE_LBUG	LUSTRE	STORAGE
23	could\s*not\s*start\s*connecting\s*to\s*.*Will\s*retry\s*until	LNET_CONNECTION_SETUP	LNET	NETWORK
24	\@gni:\s*Dropping\s*GET\s*\(error\s*\-108	LNET_PACKET_DROP	LNET	NETWORK
25	AER:\s*Multiple\s*Uncorrected\s*.*error\s*received:	SONEXION_UNCORRECTABLE_READ_ERROR	SONEXION	STORAGE
26	unable\s*to\s*handle\s*kernel.*pointer\s*dereference	KERNEL_NULL_POINTER	OS	SYS/USER_SW
27	hardware\s*quiesce\s*callback	LNET_HARDWARE_QUIESCE	LNET	NETWORK
28	Database\s*assertion:	SONEXION_MYSQL	SONEXION	STORAGE
29	md\/raid:\w+:\s*read\s*error\s*corrected\s*\(	SONEXION_CORRECTED_ERROR	SONEXION	STORAGE
30	\s*Invalid\s*quota:\s*<Lustre_Quota\s*.*reason=.*quota\s*error	LUSTRE_QUOTA	LUSTRE	STORAGE
31	Received\s*node\s*event.*ec_node_failed	EC_NODE_FAILED	HEALTH_CHECK	RESILIENCY_ARCHITECTURE
32	Device\s*offlined\s*-\s*not\s*ready\s*after\s*error\s*recovery	SONEXION_FAILOVER_ERROR	SONEXION	STORAGE
33	LustreError:\s*.*setting\s*device\s*unknown\-block.*read\-only	LUSTRE_READ_ONLY_FS	LUSTRE	STORAGE
34	ERROR:\s*Did\s*not\s*receive\s*responses\s*from\s*the\s*following\s*L0	cray_hsn_L0_TIMEOUT	cray_hsn	NETWORK
35	Error.*t\s*connect\s*to\s*MySQL\s*server\s*on\s*	SONEXION_MYSQL	SONEXION	STORAGE
36	Failed\s*Device:	SONEXION_DISK_FAILURE	SONEXION	STORAGE
37	LustreError:.*t\s*allocate\s*new\s*\w*\-?sequence,\s*rc\s*\-108	LUSTRE_TRANSPORT_END_SHUTDOWN	LUSTRE	STORAGE
38	No\s*WriteProtect\s*or\s*Scrub\-and-Boot\s*asserted.	CABINET_HEALTH	HEALTH_CHECK	RESILIENCY_ARCHITECTURE
39	Failed\s*to\s*setup\s*FMA\s*mailbox\s*\(\-12\)	cray_hsn_FMA	cray_hsn	NETWORK
40	disabling\s*internal\s*bitmap\s*due\s*to\s*errors	SONEXION_FILESYSTEM	SONEXION	STORAGE
41	krsip:\s*unexpected\s*error\s*3\d+	RSIP	OTHER	SYS/USER_SW
42	Could\s*not\s*run\s*\w+\s*configuration\s*client:\s*Input\/output\s*error	SONEXION_IO_ERROR	SONEXION	STORAGE
43	Closed\s*conn\s*.*gni.*errno\s*\-110	LNET_CONNECTION_TIMEOUT	LNET	NETWORK
44	failed\s*to\s*mount\s*DVS\s*partition	DVS_MOUNT	DVS	RESILIENCY_ARCHITECTURE
45	Closed\s*conn\s*.*errno\s*-116.*RDMA	LNET_STALE	LNET	NETWORK
46	LustreError:.*Dropping\s*timed\-out\s*request\s*from\s*.*\s*deadline	LUSTRE_TIMEOUT	LUSTRE	STORAGE
47	\$\$\s*error\\s*-110	LNET_TIMEOUT	LNET	NETWORK
48	\s*LOG_ERROR::.*Failed\s*when\s*trying\s*to\s*open\s*tcp\s*connection	MOAB_CONNECTION	MOAB	SCHEDULING
49	AER:\s*Multiple\s*Uncorrected	PCIE_UNCORR_ERROR	HARDWARE	BLADE/NODE
50	LDISKFS-fs\s*error.*Cannot\s*read\s*block\s*bitmap\s*	SONEXION_BITMAP_READ_ERROR	SONEXION	STORAGE
51	Failed\s*to\s*get\s*diagnostic\s*page	SONEXION_FILESYSTEM_ERROR	SONEXION	STORAGE
52	LustreError:.*lvbo_init\s*failed\s*for\s*resource.*rc\s*\-2	LUSTRE_QUOTA	LUSTRE	STORAGE
