1	ERROR\s*powerSlotDown:	EPO	HARDWARE	BLADE/NODE
5	Response\s*Protocol\s*Error	GEMINI_PROTOCOL_ERROR	GEMINI	NETWORK
12	ERROR:\s*Routing\s*fault	GEMINI_ROUTING_FAILURE	GEMINI	NETWORK
133	ERROR\s*\w+:\s*cab\s*health\s*fault\s*detected.	CABINET_HEALTH	HEALTH_CHECK	RESILIENCY_ARCHITECTURE
142	\s*table\s*full\s*dropping\s*packet.	GEMINI_PACKET_DROP	GEMINI	NETWORK
165	SSID\s*Detected\s*Misrouted\s*Packet	GEMINI_MISROUTED_PACKET	GEMINI	NETWORK
103	SSID\s*Correctable\s*Memory\s*Error	GEMINI_ECC_ERROR	GEMINI	NETWORK
104	ipogif_rx_irq:Received\s*packet\s*checksum\s*error	GEMINI_CHECKSUM_ERROR	GEMINI	NETWORK
180	ERROR:\s*route\s*command\s*for\s*partition.*timed\s*out	GEMINI_TIMEOUT	GEMINI	NETWORK
238	Gemini\s*Error:\s*lost\s*\d+\s*messages?\s*due\s*to\s*full	GEMINI_BUFFER_OVERFLOW	GEMINI	NETWORK
246	SSID\s*Remote\s*Request\s*HT\s*Data\s*Error:	GEMINI_DATA_ERROR	GEMINI	NETWORK
284	exit\s*due\s*to\s*link\s*recovery\s*failure	GEMINI_LINK_RECOVERY_FAILED	GEMINI	NETWORK
305	cb_hw_error:\s*handling\s*corrupted\s*routing\s*table\s*error	GEMINI_CORRUPT_ROUTING_TABLES	GEMINI	NETWORK
2001	HSN\sASIC\sLCB\slane.*\sreinit\sfailed	lane_recovery_failed	GEMINI_FAILOVER	GEMINI
2002	TX\slanemask=[356]+	one_lane_down	GEMINI_FAILOVER	GEMINI
2003	TX\slanemask=[124]+	two_lane_down	GEMINI_FAILOVER	GEMINI
2004	TX\slanemask=0	three_lane_down	GEMINI_FAILOVER	GEMINI
2005	cb_hw_error: failed_component\s.*\stype\s23	link_failed	GEMINI_FAILOVER	GEMINI
2006	cb_hw_error:\sfailed_component\s.*\stype\s21	asic_failed	GEMINI_FAILOVER	GEMINI
2007	alert\|Mezzanine\sVoltage\sFault	mezzanine_power_failed	GEMINI_FAILOVER	GEMINI
2008	generic_rsp_timeout:\sERROR.*L0	blade_power_failed	GEMINI_FAILOVER	GEMINI
2009	dispatch:\scurrent_state warm_swap	warm_swap_started	GEMINI_FAILOVER	GEMINI
2010	bwsmw1\s[\d]+\sWarm\sswap\soperation\swas\ssuccessful	warm_swap_success	GEMINI_FAILOVER	GEMINI
2011	WARNING:\sTimed\sout\swaiting\sfor\sreply\sto\sSDB\supdate\sevent\sfrom\sboot\snode	warm_swap_delayed	GEMINI_FAILOVER	GEMINI
2012	routing\stable\scorruption\sfound	routing_table_corruption	GEMINI_FAILOVER	GEMINI
2013	;\s*reroute\srequired	routing_reroute_triggerred	GEMINI_FAILOVER	GEMINI
2014	All\scomponents\sreturned\ssucces	reroute_success	GEMINI_FAILOVER	GEMINI
2015	do_throttle:\sTelling\sall\sblades\sto\sunthrottle\snetwork\sbandwidth	THROTTLE_SYS	CONGESTION_CONTROL	GEMINI
2016	do_node_quiesce	stop_network_traffic	GEMINI_FAILOVER	GEMINI
2017	do_node_unquiesce	start_networ_traffic	GEMINI_FAILOVER	GEMINI
2018	cb_hw_error:\shandling\sfailed\slink	started_link_recovery	GEMINI_FAILOVER	GEMINI
2019	done\shandling\sfailed\slinks\sin\s[\d+.\d+]*\sseconds	finished_link_recovery	GEMINI_FAILOVER	GEMINI
2020	bwsmw1\s[\d]+\sLink\srecovery\soperation\swas successful	link_recovery_success	GEMINI_FAILOVER	GEMINI
2021	ALERT:\sEmergency\sPower\sOff\sFault.	EPO_FAULT	CABINET_POWER_OFF	GEMINI
2022	ALERT:\sFan\sRPM\sFault	FAN_FAULT	GEMINI_FAILOVER	GEMINI
2023	done\shandling\swarm\sswap\sin	WARM_SWAP_FINISH_TIME	GEMINI_FAILOVER	GEMINI
2024	set\_warm\_swap\_err	set_warm_swap_err	GEMINI_FAILOVER	GEMINI
2025	do_throttle:\sTelling\sall\sblades\sto\s\throttle\sGemini	DO_NETWORK_THROTTLE	GEMINI_FAILOVER	GEMINI
2026	(\d\d:\d\d:\d\d).*(handling\scorrupted\srouting\stable\serror)	HANDLING_CORRUPT_ROUTING_TABLE	GEMINI FAILOVER	GEMINI
2027	HSN\sBoot\sfailed	HSN_NODE_BOOT_FAILED	GEMINI_FAILOVER	GEMINI
2028	dispatch.*(current_state\squiesce\s)	NETWORK_QUISCE	GEMINI_FAILOVER	GEMINI
2029	dispatch.*(current_state\sunquiesce)	NETWORK_UNQUISCE	GEMINI_FAILOVER	GEMINI
2030	(\d\d:\d\d:\d\d).*\s(c\d+-\d+c\d+s\d+).*\sauto-throttled	BLADE_THROTTLED	BLADE	HARDWARE
2031	Link\srecovery\soperation\sfailed	link_recovery_failed	GEMINI_FAILOVER	GEMINI
2032	Warm\sswap\soperation\sfailed	WARM_SWAP_FAILED	FAILOVER_GEMINI	GEMINI
2033	HWERR.*0x0(00([1-9]|a)|30[1-4]|4(0e|0f|10|11)|50([1-9]|a|b|c)|60[1-3]|70([1-8]|c|d)|80(6|7|c|d|e|f)|81[0-5]|90[1-6]|b(0|2)4|b3([3-8]|a)|c0[1-6]|d0(6|c|d|e|f))	ASIC_LOGIC_FAILURE	GEMINI_FAILOVER	GEMINI
2034	HWERR.*(BTE\s\wX\sDescriptor\sTable\sIndex\s\d\sSBE):Info	BTE_ERROR	DATA_CORRUPT	GEMNINI
2036	L0_T_BAX_NODE0_VRM_VDD:\s\d+	L0_VDD_ERROR	BLADE	HARDWARE
2037	send_slot_down_rsp:\sbladefailedlist	BLADE_DOWN_DETECTED	BLADE	HARDWARE
2038	dispatch:\scurrent_state route_compute	ROUTE_COMPUTE	REROUTING	GEMINI
2039	Retry\s\d\s-\srouting\swith\s[XYZ]+\srouting\sorder	ROUTING_RETRY	REROUTING	GEMINI
